"Control ID","Title","Normative requirement","Applicability","Responsible role","Enforcement method","Required evidence","Severity","Exception authority","Book I source","Book II source","Book III chapter","Automation status"
"GOV-001","Foundations, Authority, and Lifecycle","Every consequential change MUST identify its Book I and Book II source, responsible role, risk class, verification method, durable evidence location, and active exception status before merge. A lower-order artifact MUST NOT weaken a higher-order source.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Source-linked change record, ADR, test result, review approval, exception record where applicable.","High","Per Chapter 9 exception model","Book I Articles I-XII; Decisions 5, 25, 37, 43, 49, 58","Book II 01, 03, 05, 29, 35","Chapter 1","Partial automation"
"GOV-002","Foundations, Authority, and Lifecycle","Every consequential change MUST identify its Book I and Book II source, responsible role, risk class, verification method, durable evidence location, and active exception status before merge. A lower-order artifact MUST NOT weaken a higher-order source.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Source-linked change record, ADR, test result, review approval, exception record where applicable.","High","Per Chapter 9 exception model","Book I Articles I-XII; Decisions 5, 25, 37, 43, 49, 58","Book II 01, 03, 05, 29, 35","Chapter 1","Partial automation"
"GOV-003","Foundations, Authority, and Lifecycle","Every consequential change MUST identify its Book I and Book II source, responsible role, risk class, verification method, durable evidence location, and active exception status before merge. A lower-order artifact MUST NOT weaken a higher-order source.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Source-linked change record, ADR, test result, review approval, exception record where applicable.","High","Per Chapter 9 exception model","Book I Articles I-XII; Decisions 5, 25, 37, 43, 49, 58","Book II 01, 03, 05, 29, 35","Chapter 1","Partial automation"
"GOV-004","Foundations, Authority, and Lifecycle","Every consequential change MUST identify its Book I and Book II source, responsible role, risk class, verification method, durable evidence location, and active exception status before merge. A lower-order artifact MUST NOT weaken a higher-order source.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Source-linked change record, ADR, test result, review approval, exception record where applicable.","High","Per Chapter 9 exception model","Book I Articles I-XII; Decisions 5, 25, 37, 43, 49, 58","Book II 01, 03, 05, 29, 35","Chapter 1","Partial automation"
"GOV-005","Foundations, Authority, and Lifecycle","Every consequential change MUST identify its Book I and Book II source, responsible role, risk class, verification method, durable evidence location, and active exception status before merge. A lower-order artifact MUST NOT weaken a higher-order source.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Source-linked change record, ADR, test result, review approval, exception record where applicable.","High","Per Chapter 9 exception model","Book I Articles I-XII; Decisions 5, 25, 37, 43, 49, 58","Book II 01, 03, 05, 29, 35","Chapter 1","Partial automation"
"SRC-001","Repository, Source, and Configuration Management","Repositories MUST separate source, generated artifacts, configuration schemas, interfaces, tests, evidence, and deployment manifests. Secrets MUST NOT enter source control, logs, fixtures, images, or build outputs. Each dependency MUST have an owner, version constraint, provenance record, and vulnerability disposition.","All consequential changes within chapter scope","Engineering owner","Automated and human review","PR, SBOM, dependency attestation, generated-artifact provenance, configuration validation result.","High","Per Chapter 9 exception model","Book I Decisions 37, 39, 40, 43","Book II 03, 25, 26, 29","Chapter 2","Partial automation"
"SRC-002","Repository, Source, and Configuration Management","Repositories MUST separate source, generated artifacts, configuration schemas, interfaces, tests, evidence, and deployment manifests. Secrets MUST NOT enter source control, logs, fixtures, images, or build outputs. Each dependency MUST have an owner, version constraint, provenance record, and vulnerability disposition.","All consequential changes within chapter scope","Engineering owner","Automated and human review","PR, SBOM, dependency attestation, generated-artifact provenance, configuration validation result.","High","Per Chapter 9 exception model","Book I Decisions 37, 39, 40, 43","Book II 03, 25, 26, 29","Chapter 2","Partial automation"
"SRC-003","Repository, Source, and Configuration Management","Repositories MUST separate source, generated artifacts, configuration schemas, interfaces, tests, evidence, and deployment manifests. Secrets MUST NOT enter source control, logs, fixtures, images, or build outputs. Each dependency MUST have an owner, version constraint, provenance record, and vulnerability disposition.","All consequential changes within chapter scope","Engineering owner","Automated and human review","PR, SBOM, dependency attestation, generated-artifact provenance, configuration validation result.","High","Per Chapter 9 exception model","Book I Decisions 37, 39, 40, 43","Book II 03, 25, 26, 29","Chapter 2","Partial automation"
"SRC-004","Repository, Source, and Configuration Management","Repositories MUST separate source, generated artifacts, configuration schemas, interfaces, tests, evidence, and deployment manifests. Secrets MUST NOT enter source control, logs, fixtures, images, or build outputs. Each dependency MUST have an owner, version constraint, provenance record, and vulnerability disposition.","All consequential changes within chapter scope","Engineering owner","Automated and human review","PR, SBOM, dependency attestation, generated-artifact provenance, configuration validation result.","High","Per Chapter 9 exception model","Book I Decisions 37, 39, 40, 43","Book II 03, 25, 26, 29","Chapter 2","Partial automation"
"SRC-005","Repository, Source, and Configuration Management","Repositories MUST separate source, generated artifacts, configuration schemas, interfaces, tests, evidence, and deployment manifests. Secrets MUST NOT enter source control, logs, fixtures, images, or build outputs. Each dependency MUST have an owner, version constraint, provenance record, and vulnerability disposition.","All consequential changes within chapter scope","Engineering owner","Automated and human review","PR, SBOM, dependency attestation, generated-artifact provenance, configuration validation result.","High","Per Chapter 9 exception model","Book I Decisions 37, 39, 40, 43","Book II 03, 25, 26, 29","Chapter 2","Partial automation"
