control_id,title,requirement,applicability,responsible_role,enforcement,evidence,severity,exception_authority,source,chapter,automation
GOV-01-001,Scope every assurance decision,"Every verification or certification activity MUST name the target, version, environment, claims, exclusions, validity period, and accountable Target Owner.",all assurance work,Verification Lead,plan-schema gate and independent review,approved Verification Plan,High,Assurance Governor,"Book I Decisions 1-7, 47-51, 58; Book II Chapters 1, 3, 35; Book III Chapters 1, 8, 9; Book IV CMP-01, CMP-15, CMP-18",01,Automated + human review
GOV-01-002,Preserve reviewer independence,A person who authored or approved a consequential implementation MUST NOT be the sole reviewer or Certification Authority for that target.,consequential targets,Certification Authority,role-separation check,reviewer independence record,Critical,Assurance Governor,"Book I Decisions 1-7, 47-51, 58; Book II Chapters 1, 3, 35; Book III Chapters 1, 8, 9; Book IV CMP-01, CMP-15, CMP-18",01,Automated + human review
GOV-01-003,Separate verification from certification,A Verification Result MUST report evidence against criteria; only the designated Certification Authority MAY issue a Certification Decision.,all decisions,Verification Lead,typed decision objects and access control,Verification Result and Certification Decision,Critical,Assurance Governor,"Book I Decisions 1-7, 47-51, 58; Book II Chapters 1, 3, 35; Book III Chapters 1, 8, 9; Book IV CMP-01, CMP-15, CMP-18",01,Human review with recorded evidence
GOV-01-004,Forbid authority creation,"Verification, confidence, trust, or certification MUST NOT create Authority, Permission, Owner approval, or Treaty scope.",all targets,Certification Authority,policy invariant test,authority-path attestation,Critical,none,"Book I Decisions 1-7, 47-51, 58; Book II Chapters 1, 3, 35; Book III Chapters 1, 8, 9; Book IV CMP-01, CMP-15, CMP-18",01,Human review with recorded evidence
GOV-01-005,Use current higher-order sources,"Assurance work MUST identify and hash the applicable versions of Books I, II, III, IV, and X before execution.",all plans,Verification Lead,source-manifest validation,source integrity manifest,High,Certification Authority,"Book I Decisions 1-7, 47-51, 58; Book II Chapters 1, 3, 35; Book III Chapters 1, 8, 9; Book IV CMP-01, CMP-15, CMP-18",01,Automated + human review
GOV-01-006,Record conflicts without reinterpretation,"A suspected conflict with a higher-order source MUST halt the affected conclusion, preserve the higher-order rule, and enter a conflict record.",source conflict,Assurance Governor,blocking workflow,conflict record and disposition,Critical,none,"Book I Decisions 1-7, 47-51, 58; Book II Chapters 1, 3, 35; Book III Chapters 1, 8, 9; Book IV CMP-01, CMP-15, CMP-18",01,Human review with recorded evidence
GOV-01-007,Maintain decision accountability,"Every certification decision MUST identify the deciding authority, rationale, conditions, evidence manifest, dissent, issue time, expiry, and revocation triggers.",all certifications,Certification Authority,decision-schema validation,signed decision record,High,Assurance Governor,"Book I Decisions 1-7, 47-51, 58; Book II Chapters 1, 3, 35; Book III Chapters 1, 8, 9; Book IV CMP-01, CMP-15, CMP-18",01,Automated + human review
GOV-01-008,Escalate only Owner matters,"Owner Review MUST be limited to constitutional philosophy, Owner authority, new capability classes, new Treaty classes, irreversible risk, constitutional invariants, major human-value conflicts, or stewardship choices evidence cannot settle.",escalations,Assurance Governor,escalation classification review,Owner Review packet or engineering disposition,High,Owner,"Book I Decisions 1-7, 47-51, 58; Book II Chapters 1, 3, 35; Book III Chapters 1, 8, 9; Book IV CMP-01, CMP-15, CMP-18",01,Human review with recorded evidence
CLM-02-001,Make claims falsifiable,"Every material claim MUST state subject, predicate, scope, environment, acceptance criteria, uncertainty, and conditions that would falsify or invalidate it.",material claims,Claim Owner,claim-schema lint,Claim Record,High,Certification Authority,"Book I Decisions 26, 34, 40, 43, 55-58; Book II Chapters 17, 18, 35; Book III Chapters 6, 8, 9; Book IV CMP-15, CMP-18",02,Human review with recorded evidence
CLM-02-002,Bind evidence immutably,"Every cited item MUST be an immutable Evidence Object or a content-addressed candidate with provenance, custody, classification, time, integrity, and access metadata.",all evidence,Evidence Custodian,digest and custody validation,Evidence Manifest,Critical,none,"Book I Decisions 26, 34, 40, 43, 55-58; Book II Chapters 17, 18, 35; Book III Chapters 6, 8, 9; Book IV CMP-15, CMP-18",02,Automated + human review
