term_id,canonical_label,chapter,category,semantic_type,definition,distinction,allowed_aliases,status,book_i_source,book_ii_source,book_iii_source,source_basis,version_introduced,examples,counterexamples,relationship_ids,constraints,lifecycle_transition_ids
HAL-TERM-0001,Book X,1,Governance,Canonical reference,The controlled HAL volume that defines shared terminology and the cross-canon information model.,"It does not independently create constitutional, architectural, engineering, component, interface, operational, or certification requirements.",Canonical Terminology and Information Model,Approved,Book I Constitutional Governance and Decision 58,Book II Chapters 29 and 35,Book III Chapters 1 and 9,Book X semantic-governance choice constrained by higher-order sources,1.0,A dependent artifact cites `HAL-TERM-0001` when it uses **Book X** with this exact governed meaning: The controlled HAL volume that defines shared terminology and the cross-canon information model.,"A dependent artifact uses **Book X** in a way that violates its required distinction: It does not independently create constitutional, architectural, engineering, component, interface, operational, or certification requirements.",,"It does not independently create constitutional, architectural, engineering, component, interface, operational, or certification requirements.",
HAL-TERM-0002,Canonical Term,1,Governance,Semantic record,"A governed label with one approved meaning, stable identifier, source traceability, relationships, constraints, examples, and lifecycle status.",A commonly used word is not canonical until admitted to this register.,,Approved,Book I Constitutional Governance and Decision 58,Book II Chapters 29 and 35,Book III Chapters 1 and 9,Book X semantic-governance choice constrained by higher-order sources,1.0,"A dependent artifact cites `HAL-TERM-0002` when it uses **Canonical Term** with this exact governed meaning: A governed label with one approved meaning, stable identifier, source traceability, relationships, constraints, examples, and lifecycle status.",A dependent artifact uses **Canonical Term** in a way that violates its required distinction: A commonly used word is not canonical until admitted to this register.,HAL-REL-0049,A commonly used word is not canonical until admitted to this register.,
HAL-TERM-0003,Term Record,1,Governance,Metadata record,The authoritative Book X record for a Canonical Term and its semantic metadata.,A Term Record describes a concept; it is not automatically an operational entity record.,,Approved,Book I Constitutional Governance and Decision 58,Book II Chapters 29 and 35,Book III Chapters 1 and 9,Book X semantic-governance choice constrained by higher-order sources,1.0,A dependent artifact cites `HAL-TERM-0003` when it uses **Term Record** with this exact governed meaning: The authoritative Book X record for a Canonical Term and its semantic metadata.,A dependent artifact uses **Term Record** in a way that violates its required distinction: A Term Record describes a concept; it is not automatically an operational entity record.,,A Term Record describes a concept; it is not automatically an operational entity record.,HAL-TRANS-0001; HAL-TRANS-0002; HAL-TRANS-0003; HAL-TRANS-0004
HAL-TERM-0004,Semantic Authority,1,Governance,Precedence property,The authority of a source to determine meaning within its governed scope according to the canon hierarchy.,Semantic Authority does not grant operational Authority to a Principal.,,Approved,Book I Constitutional Governance and Decision 58,Book II Chapters 29 and 35,Book III Chapters 1 and 9,Book X semantic-governance choice constrained by higher-order sources,1.0,A dependent artifact cites `HAL-TERM-0004` when it uses **Semantic Authority** with this exact governed meaning: The authority of a source to determine meaning within its governed scope according to the canon hierarchy.,A dependent artifact uses **Semantic Authority** in a way that violates its required distinction: Semantic Authority does not grant operational Authority to a Principal.,,Semantic Authority does not grant operational Authority to a Principal.,
HAL-TERM-0005,Semantic Change,1,Governance,Governed change,"A controlled modification to a canonical label, definition, relationship, constraint, status, or mapping.",Editorial correction is a Semantic Change when meaning or compatibility may change.,,Approved,Book I Constitutional Governance and Decision 58,Book II Chapters 29 and 35,Book III Chapters 1 and 9,Book X semantic-governance choice constrained by higher-order sources,1.0,"A dependent artifact cites `HAL-TERM-0005` when it uses **Semantic Change** with this exact governed meaning: A controlled modification to a canonical label, definition, relationship, constraint, status, or mapping.",A dependent artifact uses **Semantic Change** in a way that violates its required distinction: Editorial correction is a Semantic Change when meaning or compatibility may change.,HAL-REL-0047,Editorial correction is a Semantic Change when meaning or compatibility may change.,
HAL-TERM-0006,Qualified Term,1,Governance,Disambiguated label,A label extended with a domain qualifier so that one meaning can be selected without ambiguity.,A qualifier must clarify meaning and must not conceal two distinct concepts under one record.,,Approved,Book I Constitutional Governance and Decision 58,Book II Chapters 29 and 35,Book III Chapters 1 and 9,Book X semantic-governance choice constrained by higher-order sources,1.0,A dependent artifact cites `HAL-TERM-0006` when it uses **Qualified Term** with this exact governed meaning: A label extended with a domain qualifier so that one meaning can be selected without ambiguity.,A dependent artifact uses **Qualified Term** in a way that violates its required distinction: A qualifier must clarify meaning and must not conceal two distinct concepts under one record.,,A qualifier must clarify meaning and must not conceal two distinct concepts under one record.,
HAL-TERM-0007,Allowed Alias,1,Governance,Reference label,A non-canonical label permitted to reference one Canonical Term without changing its meaning.,An alias must not be used where its ambiguity would obscure the canonical concept.,permitted synonym,Approved,Book I Constitutional Governance and Decision 58,Book II Chapters 29 and 35,Book III Chapters 1 and 9,Book X semantic-governance choice constrained by higher-order sources,1.0,A dependent artifact cites `HAL-TERM-0007` when it uses **Allowed Alias** with this exact governed meaning: A non-canonical label permitted to reference one Canonical Term without changing its meaning.,A dependent artifact uses **Allowed Alias** in a way that violates its required distinction: An alias must not be used where its ambiguity would obscure the canonical concept.,,An alias must not be used where its ambiguity would obscure the canonical concept.,
HAL-TERM-0008,Deprecated Term,1,Governance,Lifecycle status,A previously permitted label or meaning retained only for migration and historical interpretation.,Deprecation is not immediate deletion and must identify a replacement and sunset condition.,,Approved,Book I Constitutional Governance and Decision 58,Book II Chapters 29 and 35,Book III Chapters 1 and 9,Book X semantic-governance choice constrained by higher-order sources,1.0,A dependent artifact cites `HAL-TERM-0008` when it uses **Deprecated Term** with this exact governed meaning: A previously permitted label or meaning retained only for migration and historical interpretation.,A dependent artifact uses **Deprecated Term** in a way that violates its required distinction: Deprecation is not immediate deletion and must identify a replacement and sunset condition.,,Deprecation is not immediate deletion and must identify a replacement and sunset condition.,
HAL-TERM-0009,Forbidden Term,1,Governance,Prohibited label or usage,A label or usage prohibited because it collapses materially distinct HAL concepts or creates unsafe ambiguity.,"The prohibition applies to the specified meaning, not necessarily every ordinary-language occurrence.",,Approved,Book I Constitutional Governance and Decision 58,Book II Chapters 29 and 35,Book III Chapters 1 and 9,Book X semantic-governance choice constrained by higher-order sources,1.0,A dependent artifact cites `HAL-TERM-0009` when it uses **Forbidden Term** with this exact governed meaning: A label or usage prohibited because it collapses materially distinct HAL concepts or creates unsafe ambiguity.,"A dependent artifact uses **Forbidden Term** in a way that violates its required distinction: The prohibition applies to the specified meaning, not necessarily every ordinary-language occurrence.",,"The prohibition applies to the specified meaning, not necessarily every ordinary-language occurrence.",
HAL-TERM-0010,Normative Source,1,Governance,Source role,A controlled artifact whose authority determines a requirement or meaning within the canon hierarchy.,Book X cites Normative Sources but cannot promote a lower-order artifact above a higher-order source.,,Approved,Book I Constitutional Governance and Decision 58,Book II Chapters 29 and 35,Book III Chapters 1 and 9,Book X semantic-governance choice constrained by higher-order sources,1.0,A dependent artifact cites `HAL-TERM-0010` when it uses **Normative Source** with this exact governed meaning: A controlled artifact whose authority determines a requirement or meaning within the canon hierarchy.,A dependent artifact uses **Normative Source** in a way that violates its required distinction: Book X cites Normative Sources but cannot promote a lower-order artifact above a higher-order source.,,Book X cites Normative Sources but cannot promote a lower-order artifact above a higher-order source.,
HAL-TERM-0011,Entity,2,Information model,Semantic type,A distinguishable thing with identity and continuity relevant to the HAL domain.,"An Entity is not the same as its record, identifier, state, role, or representation.",,Approved,"Book I Decisions 26, 29, 40, 47, and 51","Book II Chapters 04, 22, 23, 24, 25, and 30",Book III Chapters 3 and 4,Derived semantic synthesis,1.0,A dependent artifact cites `HAL-TERM-0011` when it uses **Entity** with this exact governed meaning: A distinguishable thing with identity and continuity relevant to the HAL domain.,"A dependent artifact uses **Entity** in a way that violates its required distinction: An Entity is not the same as its record, identifier, state, role, or representation.",,"An Entity is not the same as its record, identifier, state, role, or representation.",
HAL-TERM-0012,Value Object,2,Information model,Semantic type,An immutable value defined by its attributes rather than by independent identity.,Changing a Value Object produces another value; it does not mutate an enduring identity.,,Approved,"Book I Decisions 26, 29, 40, 47, and 51","Book II Chapters 04, 22, 23, 24, 25, and 30",Book III Chapters 3 and 4,Derived semantic synthesis,1.0,A dependent artifact cites `HAL-TERM-0012` when it uses **Value Object** with this exact governed meaning: An immutable value defined by its attributes rather than by independent identity.,A dependent artifact uses **Value Object** in a way that violates its required distinction: Changing a Value Object produces another value; it does not mutate an enduring identity.,,Changing a Value Object produces another value; it does not mutate an enduring identity.,
HAL-TERM-0013,Record,2,Information model,Semantic type,"A governed representation of facts, state, decisions, or observations retained by an owning domain.",A Record is not necessarily authoritative evidence and is not interchangeable with the entity represented.,,Approved,"Book I Decisions 26, 29, 40, 47, and 51","Book II Chapters 04, 22, 23, 24, 25, and 30",Book III Chapters 3 and 4,Derived semantic synthesis,1.0,"A dependent artifact cites `HAL-TERM-0013` when it uses **Record** with this exact governed meaning: A governed representation of facts, state, decisions, or observations retained by an owning domain.",A dependent artifact uses **Record** in a way that violates its required distinction: A Record is not necessarily authoritative evidence and is not interchangeable with the entity represented.,,A Record is not necessarily authoritative evidence and is not interchangeable with the entity represented.,
HAL-TERM-0014,Authoritative Record,2,Information model,State role,The record owned by the designated source of truth for a governed state domain.,"A replica, cache, index, projection, or local copy is not authoritative merely because it is current.",source of truth,Approved,"Book I Decisions 26, 29, 40, 47, and 51","Book II Chapters 04, 22, 23, 24, 25, and 30",Book III Chapters 3 and 4,Derived semantic synthesis,1.0,A dependent artifact cites `HAL-TERM-0014` when it uses **Authoritative Record** with this exact governed meaning: The record owned by the designated source of truth for a governed state domain.,"A dependent artifact uses **Authoritative Record** in a way that violates its required distinction: A replica, cache, index, projection, or local copy is not authoritative merely because it is current.",,"A replica, cache, index, projection, or local copy is not authoritative merely because it is current.",
HAL-TERM-0015,Relationship,2,Information model,Semantic type,"A typed association between concepts or entity instances with declared direction, cardinality, constraints, and lifecycle.",Proximity or co-occurrence does not imply a governed Relationship.,,Approved,"Book I Decisions 26, 29, 40, 47, and 51","Book II Chapters 04, 22, 23, 24, 25, and 30",Book III Chapters 3 and 4,Derived semantic synthesis,1.0,"A dependent artifact cites `HAL-TERM-0015` when it uses **Relationship** with this exact governed meaning: A typed association between concepts or entity instances with declared direction, cardinality, constraints, and lifecycle.",A dependent artifact uses **Relationship** in a way that violates its required distinction: Proximity or co-occurrence does not imply a governed Relationship.,,Proximity or co-occurrence does not imply a governed Relationship.,
HAL-TERM-0016,State,2,Information model,Semantic type,The values and lifecycle condition of an entity or process at a defined observation point.,State is not an Event; an Event records a completed fact about change.,,Approved,"Book I Decisions 26, 29, 40, 47, and 51","Book II Chapters 04, 22, 23, 24, 25, and 30",Book III Chapters 3 and 4,Derived semantic synthesis,1.0,A dependent artifact cites `HAL-TERM-0016` when it uses **State** with this exact governed meaning: The values and lifecycle condition of an entity or process at a defined observation point.,A dependent artifact uses **State** in a way that violates its required distinction: State is not an Event; an Event records a completed fact about change.,,State is not an Event; an Event records a completed fact about change.,
HAL-TERM-0017,Lifecycle,2,Information model,Semantic model,"The allowed states, transitions, entry conditions, exit conditions, terminal conditions, and evidence for a governed concept.",A list of statuses without transition rules is not a complete Lifecycle.,,Approved,"Book I Decisions 26, 29, 40, 47, and 51","Book II Chapters 04, 22, 23, 24, 25, and 30",Book III Chapters 3 and 4,Derived semantic synthesis,1.0,"A dependent artifact cites `HAL-TERM-0017` when it uses **Lifecycle** with this exact governed meaning: The allowed states, transitions, entry conditions, exit conditions, terminal conditions, and evidence for a governed concept.",A dependent artifact uses **Lifecycle** in a way that violates its required distinction: A list of statuses without transition rules is not a complete Lifecycle.,,A list of statuses without transition rules is not a complete Lifecycle.,
