control_id,chapter,title,requirement,responsible_role,severity,enforcement,evidence,exception_authority,book_ix_binding,book_viii_binding
OPS-GOV-01-01,01,Every operational action,"Every operational action MUST identify the accountable role, acting identity, authority source, scope, environment, and evidence record.",Operations Manager,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-GOV-01-02,01,Duties in the declared live-effect environment and approved Reality Boun,"Duties in the declared live-effect environment and approved Reality Boundary stage MUST separate request, approval, execution, and verification for protected or high-risk changes.",Operations Manager,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-GOV-01-03,01,Operators,"Operators MUST stop when identity, authority, certification, Treaty, integrity, target, or real-world state is uncertain.",Operations Manager,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-GOV-01-04,01,Operational exceptions,"Operational exceptions MUST be explicit, risk-assessed, compensating, approved, expiring, reviewable, and automatically invalid after expiry.",Operations Manager,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-LIF-02-01,02,Installation,"Installation MUST verify artifact signatures, provenance, compatibility, approved topology, secrets references, and environment classification before execution.",Runtime Operator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-LIF-02-02,02,Bootstrap,"Bootstrap MUST establish Constitutional Kernel, identity, authority, time, evidence, policy, and trust prerequisites before admitting ordinary workloads.",Runtime Operator,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-LIF-02-03,02,Startup,"Startup MUST verify required dependencies, state integrity, contract compatibility, certification status, and an authorized runtime mode with declared entry criteria before traffic admission.",Runtime Operator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-LIF-02-04,02,Shutdown,"Shutdown MUST quiesce new work, reconcile in-flight effects, persist required evidence, preserve identity continuity, and verify bounded termination.",Runtime Operator,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-CFG-03-01,03,Configuration,"Configuration MUST be versioned, reviewed, signed where required, environment-scoped, schema-valid, and attributable.",Platform Operator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-CFG-03-02,03,Secrets,"Secrets MUST never appear in source, logs, tickets, chat, command history, images, metrics, or unrestricted evidence.",Platform Operator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
