contract_id,interface_id,component_id,kind,name,provider,consumers,route,schema_id,security_profile,delivery_profile,status
IX-C-0001,CMP-01-IF-01,CMP-01,Command,Evaluate Protected Action,Constitutional Kernel,Authorized HAL components and operators with declared need,/hal/v1/cmp-01/evaluate-protected-action,urn:hal:book-ix:ix-c-0001:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0002,CMP-01-IF-02,CMP-01,Command,Commit Protected Mutation,Constitutional Kernel,Authorized HAL components and operators with declared need,/hal/v1/cmp-01/commit-protected-mutation,urn:hal:book-ix:ix-c-0002:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0003,CMP-01-IF-03,CMP-01,Command,Validate Owner Authorization,Constitutional Kernel,Authorized HAL components and operators with declared need,/hal/v1/cmp-01/validate-owner-authorization,urn:hal:book-ix:ix-c-0003:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0004,CMP-01-IF-04,CMP-01,Command,Admit Constitutional Recovery,Constitutional Kernel,Authorized HAL components and operators with declared need,/hal/v1/cmp-01/admit-constitutional-recovery,urn:hal:book-ix:ix-c-0004:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0005,CMP-01-IF-05,CMP-01,Query,Get Constitutional State,Constitutional Kernel,Authorized HAL components and operators with declared need,/hal/v1/cmp-01/get-constitutional-state,urn:hal:book-ix:ix-c-0005:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0006,CMP-01-IF-06,CMP-01,Query,Get Protected Decision,Constitutional Kernel,Authorized HAL components and operators with declared need,/hal/v1/cmp-01/get-protected-decision,urn:hal:book-ix:ix-c-0006:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0007,CMP-01-IF-07,CMP-01,Event,Protected Action Admitted,Constitutional Kernel,Authorized HAL components and operators with declared need,/hal/v1/cmp-01/protected-action-admitted,urn:hal:book-ix:ix-c-0007:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0008,CMP-01-IF-08,CMP-01,Event,Protected Action Denied,Constitutional Kernel,Authorized HAL components and operators with declared need,/hal/v1/cmp-01/protected-action-denied,urn:hal:book-ix:ix-c-0008:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0009,CMP-01-IF-09,CMP-01,Event,Constitutional Mode Changed,Constitutional Kernel,Authorized HAL components and operators with declared need,/hal/v1/cmp-01/constitutional-mode-changed,urn:hal:book-ix:ix-c-0009:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0010,CMP-02-IF-01,CMP-02,Command,Create Identity,Identity and Continuity Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-02/create-identity,urn:hal:book-ix:ix-c-0010:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0011,CMP-02-IF-02,CMP-02,Command,Bind Identifier,Identity and Continuity Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-02/bind-identifier,urn:hal:book-ix:ix-c-0011:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0012,CMP-02-IF-03,CMP-02,Command,Suspend Identity,Identity and Continuity Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-02/suspend-identity,urn:hal:book-ix:ix-c-0012:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0013,CMP-02-IF-04,CMP-02,Command,Reconcile Continuity,Identity and Continuity Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-02/reconcile-continuity,urn:hal:book-ix:ix-c-0013:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0014,CMP-02-IF-05,CMP-02,Query,Resolve Identity,Identity and Continuity Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-02/resolve-identity,urn:hal:book-ix:ix-c-0014:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0015,CMP-02-IF-06,CMP-02,Query,Get Continuity Lineage,Identity and Continuity Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-02/get-continuity-lineage,urn:hal:book-ix:ix-c-0015:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0016,CMP-02-IF-07,CMP-02,Query,Get Authentication Context,Identity and Continuity Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-02/get-authentication-context,urn:hal:book-ix:ix-c-0016:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0017,CMP-02-IF-08,CMP-02,Event,Identity Created,Identity and Continuity Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-02/identity-created,urn:hal:book-ix:ix-c-0017:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
