control_id,title,requirement,applicability,responsible_role,enforcement,evidence,severity,exception_authority,source,chapter,automation
GOV-01-001,Preserve the hierarchy,"Every governance decision MUST identify the controlling source and MUST yield to Book I, then Book II, and the applicable subordinate canon.",all governance,Governance Recorder,"workflow gate, register validation, and independent review",Decision Record,Critical,none,"Book I Articles I-XII, Constitutional Governance, Decisions 47-49 and 58; Books II-III; Book X",01,Automated completeness/integrity checks plus human authority review
GOV-01-002,Keep Owner authority unique,"A governance body, steward, administrator, certificate, vote, emergency role, or delegated role MUST NOT become or dilute the single constitutional Owner.",all governance,Constitutional Steward,"workflow gate, register validation, and independent review",Authority Review,Critical,none,"Book I Articles I-XII, Constitutional Governance, Decisions 47-49 and 58; Books II-III; Book X",01,Automated completeness/integrity checks plus human authority review
GOV-01-003,"Govern systems, not people","Governance MUST regulate HAL institutions, artifacts, roles, risks, and actions and MUST NOT claim general authority over people.",all governance,Governance Chair,"workflow gate, register validation, and independent review",Scope Assessment,Critical,none,"Book I Articles I-XII, Constitutional Governance, Decisions 47-49 and 58; Books II-III; Book X",01,Automated completeness/integrity checks plus human authority review
GOV-01-004,Define bounded roles,"Every governance role MUST have purpose, powers, prohibitions, appointment source, competence, term, conflicts, delegation limits, removal, succession, and records.",all roles,Governance Secretary,"workflow gate, register validation, and independent review",Role Charter,High,Owner or appointing authority,"Book I Articles I-XII, Constitutional Governance, Decisions 47-49 and 58; Books II-III; Book X",01,Automated completeness/integrity checks plus human authority review
GOV-01-005,Separate recommendation and decision,Advisors and technical reviewers MUST distinguish recommendations from binding decisions and MUST identify the actual decision authority.,all decisions,Decision Sponsor,"workflow gate, register validation, and independent review",Decision Record,High,Governance Chair,"Book I Articles I-XII, Constitutional Governance, Decisions 47-49 and 58; Books II-III; Book X",01,Automated completeness/integrity checks plus human authority review
GOV-01-006,Prohibit authority inference,"Relationship, expertise, tenure, access, credential, trust, urgency, or operational control MUST NOT imply governance Authority.",all roles,Constitutional Steward,"workflow gate, register validation, and independent review",Authority-Path Test,Critical,none,"Book I Articles I-XII, Constitutional Governance, Decisions 47-49 and 58; Books II-III; Book X",01,Automated completeness/integrity checks plus human authority review
GOV-01-007,Record affected parties,"Consequential governance MUST identify affected people, components, domains, rights, duties, notice, participation, and remedy.",consequential decisions,Decision Sponsor,"workflow gate, register validation, and independent review",Stakeholder Record,High,Governance Chair,"Book I Articles I-XII, Constitutional Governance, Decisions 47-49 and 58; Books II-III; Book X",01,Automated completeness/integrity checks plus human authority review
GOV-01-008,Apply proportional governance,"Process burden MUST scale with consequence, irreversibility, uncertainty, trust boundary, privacy, safety, continuity, and constitutional significance.",all decisions,Governance Chair,"workflow gate, register validation, and independent review",Proportionality Assessment,High,Governance Chair,"Book I Articles I-XII, Constitutional Governance, Decisions 47-49 and 58; Books II-III; Book X",01,Automated completeness/integrity checks plus human authority review
DEC-02-001,Classify before deliberation,"Each proposal MUST be classified as administrative, operational, engineering-policy, architecture, security/privacy/trust, certification, capability-class, Treaty, risk acceptance, emergency, or constitutional before approval.",all proposals,Governance Secretary,"workflow gate, register validation, and independent review",Decision Classification,High,Governance Chair,"Book I Decisions 34, 40, 48, 58; Books II-III; Book VIII Chapters 1-2 and 11",02,Automated completeness/integrity checks plus human authority review
DEC-02-002,Use controlling authority,"The authority matrix MUST name proposer, reviewers, approver, recorder, executor, affected parties, appeal route, and nondelegable authority for every decision class.",all classes,Governance Secretary,"workflow gate, register validation, and independent review",Authority Matrix,Critical,none,"Book I Decisions 34, 40, 48, 58; Books II-III; Book VIII Chapters 1-2 and 11",02,Automated completeness/integrity checks plus human authority review
DEC-02-003,Create a Decision Object,"Every consequential decision MUST record question, alternatives, evidence, assumptions, risks, dissent, authority, conditions, effective date, review, sunset, revocation, appeal, and disposition.",consequential decisions,Decision Sponsor,"workflow gate, register validation, and independent review",Governance Decision Object,Critical,none,"Book I Decisions 34, 40, 48, 58; Books II-III; Book VIII Chapters 1-2 and 11",02,Automated completeness/integrity checks plus human authority review
DEC-02-004,Verify authority at decision time,"Approval MUST use current identity, delegation, scope, liveness, conflicts, and required ceremonies; historical or inferred authority is insufficient.",binding decisions,Decision Recorder,"workflow gate, register validation, and independent review",Authority Attestation,Critical,none,"Book I Decisions 34, 40, 48, 58; Books II-III; Book VIII Chapters 1-2 and 11",02,Automated completeness/integrity checks plus human authority review
DEC-02-005,Forbid vote laundering,"A majority, consensus, committee recommendation, or popularity signal MUST NOT substitute for the authority required by the controlling source.",all collective deliberation,Governance Chair,"workflow gate, register validation, and independent review",Decision Authority Review,Critical,none,"Book I Decisions 34, 40, 48, 58; Books II-III; Book VIII Chapters 1-2 and 11",02,Automated completeness/integrity checks plus human authority review
DEC-02-006,Bind exact scope,"A decision MUST identify the exact artifact, version, environment, capability, Treaty, duration, population, and conditions it governs.",all binding decisions,Decision Recorder,"workflow gate, register validation, and independent review",Decision Scope Manifest,High,Decision Authority,"Book I Decisions 34, 40, 48, 58; Books II-III; Book VIII Chapters 1-2 and 11",02,Automated completeness/integrity checks plus human authority review
DEC-02-007,Control effective state,"Approved, effective, suspended, revoked, expired, and superseded MUST be distinct states with attributable transitions and propagation receipts.",all decisions,Governance Recorder,"workflow gate, register validation, and independent review",Decision Lifecycle Record,High,none,"Book I Decisions 34, 40, 48, 58; Books II-III; Book VIII Chapters 1-2 and 11",02,Automated completeness/integrity checks plus human authority review
DEC-02-008,Prevent silent precedent,A decision MUST state whether it is case-specific or precedential; precedent MUST NOT silently amend higher-order policy.,all decisions,Constitutional Steward,"workflow gate, register validation, and independent review",Precedent Review,Critical,none,"Book I Decisions 34, 40, 48, 58; Books II-III; Book VIII Chapters 1-2 and 11",02,Automated completeness/integrity checks plus human authority review
BDY-03-001,Charter every body,"Each governance body MUST have a written charter defining remit, authority source, membership, quorum, voting or decision rule, records, confidentiality, conflicts, appeal, and sunset.",governance bodies,Body Chair,"workflow gate, register validation, and independent review",Body Charter,High,Appointing Authority,"Book I Articles VI, XI, XII and Decision 58; Book III review controls; Book VIII independence controls",03,Automated completeness/integrity checks plus human authority review
BDY-03-002,Verify quorum and authority,A meeting MUST NOT issue a binding decision without verified quorum and the required decision authority present or validly delegated.,binding meetings,Governance Secretary,"workflow gate, register validation, and independent review",Attendance and Authority Record,Critical,none,"Book I Articles VI, XI, XII and Decision 58; Book III review controls; Book VIII independence controls",03,Automated completeness/integrity checks plus human authority review
BDY-03-003,Publish an evidence packet,"Consequential agenda items MUST provide sources, proposal, alternatives, risks, evidence, affected parties, conflicts, and requested decision before deliberation.",consequential meetings,Decision Sponsor,"workflow gate, register validation, and independent review",Deliberation Packet,High,Body Chair,"Book I Articles VI, XI, XII and Decision 58; Book III review controls; Book VIII independence controls",03,Automated completeness/integrity checks plus human authority review
BDY-03-004,Preserve dissent,"Material dissent, uncertainty, minority impact, abstention, and unresolved evidence conflict MUST be recorded without retaliation or erasure.",all consequential deliberation,Governance Recorder,"workflow gate, register validation, and independent review",Dissent Record,High,none,"Book I Articles VI, XI, XII and Decision 58; Book III review controls; Book VIII independence controls",03,Automated completeness/integrity checks plus human authority review
BDY-03-005,Disclose conflicts,"Participants MUST disclose financial, relational, authorship, operational, reputational, and other material conflicts before access to restricted deliberation or decision.",all participants,Participant,"workflow gate, register validation, and independent review",Conflict Disclosure,Critical,Body Chair,"Book I Articles VI, XI, XII and Decision 58; Book III review controls; Book VIII independence controls",03,Automated completeness/integrity checks plus human authority review
