control_id,title,requirement,applicability,responsible_role,enforcement,evidence,severity,exception_authority,protection_objective,book_i,book_ii,book_iii,book_iv,book_x,chapter,automation
VI-GOV-01-001,Apply the canon hierarchy,"Every program decision MUST preserve Book I, implement Book II, follow Book III, respect Book IV ownership, and use Book X semantics; conflict MUST halt the affected decision and be recorded.",all program decisions,Security and Trust Executive,source-version gate and conflict workflow,source manifest and decision record,Critical,None,Both,"Articles I-XIV; Decisions 1, 5, 26, 27, 47, 48, 58","Chapters 1, 3-5, 35","Chapters 1, 5, 8-9","CMP-01, CMP-03, CMP-17-21, CMP-24","Chapters 1, 3-4, 7-8, 10",01,Automated + human review
VI-GOV-01-002,Separate protection from restraint,"Every risk assessment and control design MUST state whether it protects HAL, prevents HAL from exceeding Authority, or does both; neither objective MAY be omitted when applicable.",all controls and risks,Control Owner,control-schema validation,control record with protection objective,Critical,Security and Trust Executive,Both,"Articles I-XIV; Decisions 1, 5, 26, 27, 47, 48, 58","Chapters 1, 3-5, 35","Chapters 1, 5, 8-9","CMP-01, CMP-03, CMP-17-21, CMP-24","Chapters 1, 3-4, 7-8, 10",01,Automated + human review
VI-GOV-01-003,Assign control accountability,"Each active control MUST have one accountable Control Owner, identified operators, an assessor, evidence, test frequency, failure response, and succession coverage.",all controls,Security and Trust Executive,catalog completeness gate,approved control assignment,High,Risk Steward,Both,"Articles I-XIV; Decisions 1, 5, 26, 27, 47, 48, 58","Chapters 1, 3-5, 35","Chapters 1, 5, 8-9","CMP-01, CMP-03, CMP-17-21, CMP-24","Chapters 1, 3-4, 7-8, 10",01,Automated + human review
VI-GOV-01-004,Classify risk by consequence,"Risks MUST be classified using the highest material consequence across authority, constitutional invariant, privacy, trust boundary, compromise, continuity, safety, irreversibility, and blast radius.",all risks,Risk Steward,risk-register validation and review,risk assessment,Critical,Security and Trust Executive,Both,"Articles I-XIV; Decisions 1, 5, 26, 27, 47, 48, 58","Chapters 1, 3-5, 35","Chapters 1, 5, 8-9","CMP-01, CMP-03, CMP-17-21, CMP-24","Chapters 1, 3-4, 7-8, 10",01,Automated + human review
VI-GOV-01-005,Maintain separation of duties,"No person or service MAY solely request, approve, execute, and attest a protected security, privacy, trust, key, Treaty, or break-glass change.",protected changes,Control Owner,role-conflict policy,approval and execution evidence,Critical,Security and Trust Executive,Both,"Articles I-XIV; Decisions 1, 5, 26, 27, 47, 48, 58","Chapters 1, 3-5, 35","Chapters 1, 5, 8-9","CMP-01, CMP-03, CMP-17-21, CMP-24","Chapters 1, 3-4, 7-8, 10",01,Automated + human review
VI-GOV-01-006,Operate a control lifecycle,"Controls MUST be proposed, reviewed, approved, implemented, tested, monitored, remediated, and retired through versioned records with preserved history.",all controls,Control Owner,control-state machine,control lifecycle record,High,Risk Steward,Both,"Articles I-XIV; Decisions 1, 5, 26, 27, 47, 48, 58","Chapters 1, 3-5, 35","Chapters 1, 5, 8-9","CMP-01, CMP-03, CMP-17-21, CMP-24","Chapters 1, 3-4, 7-8, 10",01,Human review with recorded evidence
VI-GOV-01-007,Time-bound all exceptions,"An exception MUST identify control, scope, rationale, risk, compensating controls, approver, evidence, effective date, review date, expiry, and revocation triggers; silent or permanent exceptions are prohibited.",all exceptions,Risk Steward,exception registry and expiry enforcement,signed exception record,Critical,Security and Trust Executive,Both,"Articles I-XIV; Decisions 1, 5, 26, 27, 47, 48, 58","Chapters 1, 3-5, 35","Chapters 1, 5, 8-9","CMP-01, CMP-03, CMP-17-21, CMP-24","Chapters 1, 3-4, 7-8, 10",01,Human review with recorded evidence
VI-GOV-01-008,Forbid program-created authority,"Security status, trust, identity, credentials, certificates, risk acceptance, or control compliance MUST NOT create Permission, Authority, Owner approval, capability-class approval, or Treaty scope.",all program actions,Security and Trust Executive,negative authority-path tests,authority non-creation attestation,Critical,None,Constrain HAL,"Articles I-XIV; Decisions 1, 5, 26, 27, 47, 48, 58","Chapters 1, 3-5, 35","Chapters 1, 5, 8-9","CMP-01, CMP-03, CMP-17-21, CMP-24","Chapters 1, 3-4, 7-8, 10",01,Human review with recorded evidence
VI-IAM-02-001,Bind access to immutable identity,"Every access decision MUST bind an authenticated immutable principal identity; names, locations, devices, network zones, or roles alone MUST NOT establish identity.",all access,Identity Service Owner,identity-context validation,authentication record,Critical,None,Both,"Decisions 6, 27, 47-48","Chapters 4-5, 23, 33",Chapter 5,"CMP-02, CMP-03, CMP-17, CMP-25","Chapters 3-4, 8",02,Automated + human review
VI-IAM-02-002,Independently evaluate Permission for every action,"Successful authentication MUST NOT imply Permission; each protected operation MUST obtain a current Permission decision bounded by current Authority for the exact action, target, purpose, constraints, and time.",protected operations,Authority Service Owner,policy enforcement point,Permission Decision Record,Critical,None,Constrain HAL,"Decisions 6, 27, 47-48","Chapters 4-5, 23, 33",Chapter 5,"CMP-02, CMP-03, CMP-17, CMP-25","Chapters 3-4, 8",02,Automated + human review
VI-IAM-02-003,Use risk-appropriate authentication,"Authentication strength, freshness, liveness, device evidence, and step-up requirements MUST be proportionate to the protected consequence and environmental risk.",all sessions,Identity Service Owner,adaptive authentication policy,authentication assurance record,High,Security and Trust Executive,Both,"Decisions 6, 27, 47-48","Chapters 4-5, 23, 33",Chapter 5,"CMP-02, CMP-03, CMP-17, CMP-25","Chapters 3-4, 8",02,Automated + human review
VI-IAM-02-004,Review access continuously,"Privileged, cross-domain, sensitive-data, and protected-state access MUST be reviewed on grant, material change, periodic cadence, incident, role change, and termination.",sensitive access,Resource Owner,access review workflow,access review and disposition,High,Risk Steward,Both,"Decisions 6, 27, 47-48","Chapters 4-5, 23, 33",Chapter 5,"CMP-02, CMP-03, CMP-17, CMP-25","Chapters 3-4, 8",02,Human review with recorded evidence
VI-IAM-02-005,Revoke promptly,"Termination, compromise, expired delegation, quarantine, loss of need, or material risk increase MUST revoke or constrain affected sessions, tokens, permissions, and derived access without waiting for routine review.",access lifecycle events,Access Administrator,revocation automation,revocation receipts,Critical,None,Both,"Decisions 6, 27, 47-48","Chapters 4-5, 23, 33",Chapter 5,"CMP-02, CMP-03, CMP-17, CMP-25","Chapters 3-4, 8",02,Automated + human review
VI-IAM-02-006,Quarantine without identity erasure,"Identity quarantine MUST restrict new work and credentials, preserve forensic evidence, maintain historical attribution, and require independent release; an identity MUST NOT self-release.",suspect identities,Security Operations,quarantine state machine,quarantine and release records,Critical,Security and Trust Executive,Both,"Decisions 6, 27, 47-48","Chapters 4-5, 23, 33",Chapter 5,"CMP-02, CMP-03, CMP-17, CMP-25","Chapters 3-4, 8",02,Human review with recorded evidence
VI-IAM-02-007,Prevent shared identities,Human operators MUST NOT share identities; service identities MUST be uniquely attributable to one workload identity and accountable owner.,all identities,Identity Service Owner,identity inventory scan,identity registry,High,Security and Trust Executive,Protect HAL,"Decisions 6, 27, 47-48","Chapters 4-5, 23, 33",Chapter 5,"CMP-02, CMP-03, CMP-17, CMP-25","Chapters 3-4, 8",02,Automated + human review
VI-IAM-02-008,Minimize access,"Permissions MUST be purpose-bound, least-privileged, scoped to resources and operations, and expire at the shortest practicable interval consistent with declared availability, integrity, and human-harm constraints.",all grants,Resource Owner,policy analysis and expiry,grant record,High,Risk Steward,Both,"Decisions 6, 27, 47-48","Chapters 4-5, 23, 33",Chapter 5,"CMP-02, CMP-03, CMP-17, CMP-25","Chapters 3-4, 8",02,Automated + human review
